Oznaèite spol.;Na kateri fakulteti študirate? (Študenti interdisciplinarnih programov, ki potekajo na veèih fakultetah, oznaèite poljubno fakulteto.)
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Non-binary asexual furry;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Ne želim odgovoriti.;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Ženska;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Ženska;Fakulteta za raèunalništvo in informatiko
;
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Ženska;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za raèunalništvo in informatiko
Ženska;Fakulteta za raèunalništvo in informatiko
Ženska;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Sem bil na FRI, VSS dropout
Ne želim odgovoriti.;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Ženska;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Ne želim odgovoriti.;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za raèunalništvo in informatiko
Ne želim odgovoriti.;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Ženska;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Ženska;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Ženska;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za matematiko in fiziko
Ne želim odgovoriti.;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Ne želim odgovoriti.;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za matematiko in fiziko
Ženska;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za raèunalništvo in informatiko
Ženska;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Ženska;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za matematiko in fiziko
Moški;Fakulteta za raèunalništvo in informatiko
Moški;Fakulteta za matematiko in fiziko
